,Unnamed: 0,Datetime,TweetId,Text,EncodedText,Username,Tweet,Language,Drug,IsValid,CleanText,AbsText,WordCount,AbsCount
71212,71212,2018-06-11 14:32:16+00:00,1006182333437767680,"@thebadactress That's young! And you've made it this far. Keep going 🙂 I'm doing ok. Few bumps along the road of #Lemtrada...however, I'm due round two in a few months 🤞 I shouldn't feel any different, however it should hopefully slow down my #MS disease progression xx","b""@thebadactress That's young! And you've made it this far. Keep going \xf0\x9f\x99\x82 I'm doing ok. Few bumps along the road of #Lemtrada...however, I'm due round two in a few months \xf0\x9f\xa4\x9e I shouldn't feel any different, however it should hopefully slow down my #MS disease progression xx""",Cliona_Evans,https://twitter.com/Cliona_Evans/status/1006182333437767680,en,lemtrada,,Thats young And youve made it this far Keep going Im doing ok Few bumps along the road of Lemtradahowever Im due round two in a few months I shouldnt feel any different however it should hopefully slow down my MS disease progression xx,Thats young And youve made it this far Keep going Im doing ok Few bumps along the road of however Im due round two in a few months I shouldnt feel any different however it should hopefully slow down my disease progression xx,44,43
46340,46340,2021-10-01 03:17:34+00:00,1443777078617415684,"@imfopinion @rosannecash If it wasn’t for my Medicare and the Ocrevus Company helping me with costs I could never get my MS infusion meds It’s about $7,000 just for it every 6 months and that’s not including the facility cost where they do the infusion 😳","b'@imfopinion @rosannecash If it wasn\xe2\x80\x99t for my Medicare and the Ocrevus Company helping me with costs I could never get my MS infusion meds It\xe2\x80\x99s about $7,000 just for it every 6 months and that\xe2\x80\x99s not including the facility cost where they do the infusion \xf0\x9f\x98\xb3'",AbbyGre60599897,https://twitter.com/AbbyGre60599897/status/1443777078617415684,en,ocrevus,,If it wasnt for my Medicare and the Ocrevus Company helping me with costs I could never get my MS infusion meds Its about 7000 just for it every months and thats not including the facility cost where they do the infusion,If it wasnt for my Medicare and the Ocrevus Company helping me with costs I could never get my MS infusion meds Its about 7000 just for it every months and thats not including the facility cost where they do the infusion,42,42
10657,10657,2021-06-12 13:00:27+00:00,1403698714187796487,"We want to help others understand what it's like to be on treatments such as Lemtrada, Tysabri, Mavenclad, Tecfidera or Copaxone. Email mystory@mstrust.org.uk if you'd like to share your DMD experiences, either by video diary or written blog. 
https://t.co/pCGz7rEObP https://t.co/k5YYy4A7qi","b""We want to help others understand what it's like to be on treatments such as Lemtrada, Tysabri, Mavenclad, Tecfidera or Copaxone. Email mystory@mstrust.org.uk if you'd like to share your DMD experiences, either by video diary or written blog. \nhttps://t.co/pCGz7rEObP https://t.co/k5YYy4A7qi""",MSTrust,https://twitter.com/MSTrust/status/1403698714187796487,en,tecfidera,,We want to help others understand what its like to be on treatments such as Lemtrada Tysabri Mavenclad Tecfidera or Copaxone Email mystoryorguk if youd like to share your DMD experiences either by video diary or written blog,We want to help others understand what its like to be on treatments such as Lemtrada Tysabri Mavenclad Tecfidera or Copaxone Email mystoryorguk if youd like to share your DMD experiences either by video diary or written blog,38,38
8796,8796,2020-07-16 11:48:17+00:00,1283730168155197440,"Global Teriflunomide Market Size, Share, Development, Growth and Demand Forecast to 2026 https://t.co/pvAcmffwWL","b'Global Teriflunomide Market Size, Share, Development, Growth and Demand Forecast to\xc2\xa02026 https://t.co/pvAcmffwWL'",KnowldgeNJourn1,https://twitter.com/KnowldgeNJourn1/status/1283730168155197440,en,teriflunomide,,Global Teriflunomide Market Size Share Development Growth and Demand Forecast to2026,Global Teriflunomide Market Size Share Development Growth and Demand Forecast to2026,11,11
43732,43732,2022-03-16 10:46:58+00:00,1504046559423606788,@GrumpyoldGould @themsguide @AaronBosterMD @neurognanapavan @KlausSchmierer @GavinGiovannoni Yes on ocrevus! I almost like the idea of an ‘infusion lounge’! Seeing my neuro tomorrow- one of my questions is what is the pathway in my area for accessing anti-virals,b'@GrumpyoldGould @themsguide @AaronBosterMD @neurognanapavan @KlausSchmierer @GavinGiovannoni Yes on ocrevus! I almost like the idea of an \xe2\x80\x98infusion lounge\xe2\x80\x99! Seeing my neuro tomorrow- one of my questions is what is the pathway in my area for accessing anti-virals',PatriciaMunn604,https://twitter.com/PatriciaMunn604/status/1504046559423606788,en,ocrevus,,Yes on ocrevus I almost like the idea of an infusion lounge Seeing my neuro tomorrow one of my questions is what is the pathway in my area for accessing antivirals,Yes on ocrevus I almost like the idea of an infusion lounge Seeing my neuro tomorrow one of my questions is what is the pathway in my area for accessing antivirals,31,31
35181,35181,2020-04-03 03:19:38+00:00,1245913824898605059,@Brandon_Beaber Would you guess B-cell depleters fall somewhere near Tysabri?,b'@Brandon_Beaber Would you guess B-cell depleters fall somewhere near Tysabri?',catmcc,https://twitter.com/catmcc/status/1245913824898605059,en,tysabri,,Would you guess Bcell depleters fall somewhere near Tysabri,Would you guess Bcell depleters fall somewhere near Tysabri,9,9
71985,71985,2021-12-06 11:50:49+00:00,1467823840516620293,@TheAmirImani Mmm! Maybe induction immunosuppression such alemtuzumab and the risk of opportunistic infections in the future? Tough question,b'@TheAmirImani Mmm! Maybe induction immunosuppression such alemtuzumab and the risk of opportunistic infections in the future? Tough question',IdVilchez,https://twitter.com/IdVilchez/status/1467823840516620293,en,alemtuzumab,,Mmm Maybe induction immunosuppression such alemtuzumab and the risk of opportunistic infections in the future Tough question,Mmm Maybe induction immunosuppression such alemtuzumab and the risk of opportunistic infections in the future Tough question,17,17
59352,59352,2018-03-25 01:10:37+00:00,977714337191223296,"@Theofficial_Ang My ins was billed $149,000 for my 1 full dose of Ocrevus","b'@Theofficial_Ang My ins was billed $149,000 for my 1 full dose of Ocrevus'",NorBk718,https://twitter.com/NorBk718/status/977714337191223296,en,ocrevus,,My ins was billed 149000 for my full dose of Ocrevus,My ins was billed 149000 for my full dose of Ocrevus,11,11
49136,49136,2021-04-15 17:53:50+00:00,1382754048298807298,"Low immunoglobin G (IgG) has long-been reported as a risk factor for infections with b-cell depleting drugs (ocrevus/rituximab/kesimpta), but this study on Ocrevus suggests IgA may correlate more with infections (56% decreased risk with higher IgA) https://t.co/8xxqeYxOw1","b'Low immunoglobin G (IgG) has long-been reported as a risk factor for infections with b-cell depleting drugs (ocrevus/rituximab/kesimpta), but this study on Ocrevus suggests IgA may correlate more with infections (56% decreased risk with higher IgA) https://t.co/8xxqeYxOw1'",Brandon_Beaber,https://twitter.com/Brandon_Beaber/status/1382754048298807298,en,ocrevus,,Low immunoglobin G IgG has longbeen reported as a risk factor for infections with bcell depleting drugs ocrevusrituximabkesimpta but this study on Ocrevus suggests IgA may correlate more with infections 56 decreased risk with higher IgA,Low immunoglobin G IgG has longbeen reported as a risk factor for infections with bcell depleting drugs ocrevusrituximabkesimpta but this study on Ocrevus suggests IgA may correlate more with infections 56 decreased risk with higher IgA,36,36
73037,73037,2020-05-16 10:01:02+00:00,1261597519542280193,New article:  Quality of Life Improves with Alemtuzumab Over 6 Years in Relapsing-Remitting Multiple Sclerosis Patients with or without Autoimmune Thyroid Adverse Events: Post Hoc Analysis of the CARE-MS Studies. https://t.co/xmNQQ0hnMj #MS #multiplesclerosis #neurology,b'New article:  Quality of Life Improves with Alemtuzumab Over 6\xc2\xa0Years in Relapsing-Remitting Multiple Sclerosis Patients with or without Autoimmune Thyroid Adverse Events: Post Hoc Analysis of the CARE-MS Studies. https://t.co/xmNQQ0hnMj #MS #multiplesclerosis #neurology',PaperbirdsN,https://twitter.com/PaperbirdsN/status/1261597519542280193,en,alemtuzumab,,New article Quality of Life Improves with Alemtuzumab Over Years in RelapsingRemitting Multiple Sclerosis Patients with or without Autoimmune Thyroid Adverse Events Post Hoc Analysis of the CAREMS Studies MS multiplesclerosis neurology,New article Quality of Life Improves with Alemtuzumab Over Years in RelapsingRemitting Multiple Sclerosis Patients with or without Autoimmune Thyroid Adverse Events Post Hoc Analysis of the CAREMS Studies,32,29
